id,name,slug
2575,Burberry Snow Blossom,burberry-snow-blossom
2581,Burberry Ash Flower,burberry-ash-flower
2582,Burberry High Tea,burberry-high-tea
3895,Creed Acqua Originale Cedre Blanc,creed-acqua-originale-cedre-blanc
12641,Zadig & Voltaire Just Rock! For Her,zadig-voltaire-just-rock-for-her
12674,Zarkoperfume MOLéCULE C-19 The Beach,zarkoperfume-molcule-c-19-the-beach
12675,Zarkoperfume Chypre 23,zarkoperfume-chypre-23
12677,Zarkoperfume Supercharged Molecule,zarkoperfume-supercharged-molecule
